resource_geoid,category,count
36047041200,food retail,5
36047024400,food retail,6
36047046800,food retail,2
36081070900,food retail,0
36081053900,food retail,3
36047027500,food retail,5
36047027700,food retail,8
36047012901,food retail,4
36047012902,food retail,1
36047045300,food retail,6
36047048500,food retail,9
36047030800,food retail,2
36005007400,food retail,0
36047028200,food retail,0
36005008600,food retail,5
36047118800,food retail,9
36081074700,food retail,0
36005022101,food retail,9
36005014702,food retail,3
36005016900,food retail,0
36081009800,food retail,0
36081011000,food retail,0
36081070300,food retail,0
36081070700,food retail,0
36047022600,food retail,8
36047048900,food retail,3
36047049300,food retail,12
36061008200,food retail,3
36005009600,food retail,5
36005020100,food retail,0
36005007800,food retail,1
36047021800,food retail,6
36005009200,food retail,5
36061008603,food retail,2
36047079801,food retail,0
36047079802,food retail,4
36047008500,food retail,3
36047088000,food retail,6
36005039500,food retail,3
36081133300,food retail,0
36081134700,food retail,1
36081040400,food retail,0
36081061601,food retail,0
36081062000,food retail,0
36081037600,food retail,0
36047042300,food retail,5
36081001900,food retail,0
36081008300,food retail,2
36081008100,food retail,0
36081062400,food retail,0
36081062600,food retail,0
36081021400,food retail,0
36081060100,food retail,1
36081060300,food retail,0
36081049301,food retail,0
36061012400,food retail,5
36061013200,food retail,4
36005002300,food retail,3
36047028000,food retail,2
36081014201,food retail,0
36081014202,food retail,0
36081045200,food retail,0
36081045400,food retail,0
36081066900,food retail,0
36047030700,food retail,3
36047034700,food retail,5
36081085700,food retail,1
36081015100,food retail,0
36047010000,food retail,10
36081016300,food retail,0
36061025500,food retail,0
36005034300,food retail,0
36005039901,food retail,3
36081012301,food retail,0
36081013500,food retail,0
36081042700,food retail,0
36081099704,food retail,0
36005045600,food retail,1
36081122701,food retail,1
36081122702,food retail,3
36047048600,food retail,7
36081107201,food retail,2
36081025301,food retail,1
36081026000,food retail,0
36081026200,food retail,0
36081018700,food retail,0
36047038600,food retail,10
36047039800,food retail,2
36047002300,food retail,0
36081079701,food retail,0
36081084500,food retail,0
36081085900,food retail,0
36005025600,food retail,2
36047019100,food retail,4
36005021900,food retail,3
36061013800,food retail,9
36047021300,food retail,1
36047032500,food retail,3
36005021501,food retail,9
36081055200,food retail,0
36081018300,food retail,0
36081025100,food retail,0
